time,lon,lat,H500
01/01/1979 (00:00),-126.956,38.895,5703.71
01/01/1979 (00:00),-126.6,38.97,5700.71
01/01/1979 (00:00),-126.243,39.0436,5697.21
01/01/1979 (00:00),-125.885,39.116,5693.21
01/01/1979 (00:00),-125.527,39.187,5689.71
01/01/1979 (00:00),-125.167,39.2568,5685.21
01/01/1979 (00:00),-124.807,39.3252,5681.21
01/01/1979 (00:00),-124.446,39.3922,5676.71
01/01/1979 (00:00),-124.084,39.458,5672.21
01/01/1979 (00:00),-123.721,39.5224,5667.21
01/01/1979 (00:00),-123.357,39.5854,5661.71
01/01/1979 (00:00),-122.993,39.6471,5655.71
01/01/1979 (00:00),-122.627,39.7074,5649.71
01/01/1979 (00:00),-122.261,39.7663,5642.71
01/01/1979 (00:00),-121.895,39.8239,5635.21
01/01/1979 (00:00),-121.527,39.8801,5627.21
01/01/1979 (00:00),-121.159,39.935,5619.21
01/01/1979 (00:00),-120.79,39.9884,5610.21
01/01/1979 (00:00),-120.421,40.0405,5600.71
01/01/1979 (00:00),-120.05,40.0912,5590.71
01/01/1979 (00:00),-119.68,40.1404,5580.21
01/01/1979 (00:00),-119.308,40.1883,5569.71
01/01/1979 (00:00),-118.936,40.2348,5559.21
01/01/1979 (00:00),-118.563,40.2798,5547.71
01/01/1979 (00:00),-118.19,40.3234,5536.21
01/01/1979 (00:00),-117.816,40.3657,5524.21
01/01/1979 (00:00),-117.442,40.4065,5511.71
01/01/1979 (00:00),-117.067,40.4458,5499.21
01/01/1979 (00:00),-116.691,40.4838,5487.21
01/01/1979 (00:00),-116.315,40.5203,5474.71
01/01/1979 (00:00),-115.939,40.5554,5463.21
01/01/1979 (00:00),-115.562,40.589,5452.71
01/01/1979 (00:00),-115.185,40.6212,5443.21
01/01/1979 (00:00),-114.807,40.652,5433.71
01/01/1979 (00:00),-114.429,40.6813,5424.21
01/01/1979 (00:00),-114.051,40.7092,5415.71
01/01/1979 (00:00),-113.672,40.7356,5407.71
