time,lon,lat,PMSL
01/07/1979 (00:00),-126.956,38.895,101255
01/07/1979 (00:00),-126.6,38.97,101283
01/07/1979 (00:00),-126.243,39.0436,101314
01/07/1979 (00:00),-125.885,39.116,101349
01/07/1979 (00:00),-125.527,39.187,101387
01/07/1979 (00:00),-125.167,39.2568,101424
01/07/1979 (00:00),-124.807,39.3252,101456
01/07/1979 (00:00),-124.446,39.3922,101480
01/07/1979 (00:00),-124.084,39.458,101495
01/07/1979 (00:00),-123.721,39.5224,101500
01/07/1979 (00:00),-123.357,39.5854,101497
01/07/1979 (00:00),-122.993,39.6471,101481
01/07/1979 (00:00),-122.627,39.7074,101515
01/07/1979 (00:00),-122.261,39.7663,101585
01/07/1979 (00:00),-121.895,39.8239,101616
01/07/1979 (00:00),-121.527,39.8801,101620
01/07/1979 (00:00),-121.159,39.935,101609
01/07/1979 (00:00),-120.79,39.9884,101686
01/07/1979 (00:00),-120.421,40.0405,101810
01/07/1979 (00:00),-120.05,40.0912,101951
01/07/1979 (00:00),-119.68,40.1404,102047
01/07/1979 (00:00),-119.308,40.1883,102128
01/07/1979 (00:00),-118.936,40.2348,102180
01/07/1979 (00:00),-118.563,40.2798,102186
01/07/1979 (00:00),-118.19,40.3234,102193
01/07/1979 (00:00),-117.816,40.3657,102150
01/07/1979 (00:00),-117.442,40.4065,102092
01/07/1979 (00:00),-117.067,40.4458,102088
01/07/1979 (00:00),-116.691,40.4838,102105
01/07/1979 (00:00),-116.315,40.5203,102126
01/07/1979 (00:00),-115.939,40.5554,102111
01/07/1979 (00:00),-115.562,40.589,102076
01/07/1979 (00:00),-115.185,40.6212,102025
01/07/1979 (00:00),-114.807,40.652,102018
01/07/1979 (00:00),-114.429,40.6813,102110
01/07/1979 (00:00),-114.051,40.7092,102322
01/07/1979 (00:00),-113.672,40.7356,102446
01/07/1979 (00:00),-113.293,40.7605,102465
01/07/1979 (00:00),-112.913,40.784,102432
01/07/1979 (00:00),-112.533,40.8061,102426
01/07/1979 (00:00),-127.054,39.1717,101246
01/07/1979 (00:00),-126.696,39.2471,101276
01/07/1979 (00:00),-126.338,39.3212,101308
